Unnamed: 0,Product,User,Review,Sentiments
0,deskjet,_lalit123,Want to return an HP Deskjet F4440 all-in-one printer which is now defunct for me. Looking for better option than to give it in scrap. Can u suggest a way out @user @user,Neutral
1,deskjet,ivineet_more,I have forgotten the EWS webpage userid and password for my HP Deskjet 5820 All in one printer. I have been trying to reset it since a month. Please let me know how to reset it. Its very very urgent for me as all my wireless printing is stuck. @user the local hp service centre,Negative
2,deskjet,rajeshlele,Dear @user or @user - how do I dispose old printer cartridges? Using a simple Deskjet 2131 for home use. Thanks.,Neutral
3,deskjet,AGhosh_talking,"Don't buy #HP products. Am fed up with harassment by @user
@user
Case #5059716127 HP deskjet Ink adv ultra 4729 printer. Their faulty printer which they replaced after 1 month of ordeal, they were supposed to give warranty based on that. But now I'm denied that.",Negative
4,deskjet,AGhosh_talking,"From 27th Jan following up with @user
@user
Case #5059716127 HP deskjet Ink adv ultra 4729 printer &amp; in spite of promises of replacement, they kept on confusing me without any genuine action. TVS, Campuage, HP support, all have different versions.",Negative
5,deskjet,AGhosh_talking,Case #5059716127 HP deskjet Ink adv ultra 4729 printer stopped working immediately after installation &amp;no support provided by @user for 3 days in spite of promising otherwise. Nobody even bothered to call! And they are saying the issue have been escalated..like in which world?,Negative
6,deskjet,modynishant,"Hey, @user @user the cartridge recommendation for my HP Deskjet 1050 on your online store is wrong. I am unable to buy 805 Black ink. Can you assist? I have just enrolled for HP Rewards Program. #HP",Negative
7,deskjet,navkar2001,"Replaced the printhead of HP Deskjet GT 5820 twice in a year and yet it doesn't work more than a few months!
Disappointing service by @user @user!",Negative
8,deskjet,Dipansh58658546,Hey @user can I refill cartridge of hp deskjet 2131,Neutral
9,deskjet,creative_rupesh,"Hey @user 
My HP Deskjet 4729 printer is showing false paper jam. I tried all the solutions available on your website but the problem remains same. Kindly resolve the issue as my printer is in warranty period.",Negative
10,deskjet,abhinav_ag97,"HP DeskJet GT 5811 is not working just after using it for 16 months..According to ur executive the printer head is totally damanged.N now the HP dealer r charging me an amount in which i can buy a similar Epson printer.
Never buying @user products. @user",Negative
11,deskjet,mayank29gupta,Dear @user i need to purchase new power adapter for HP Deskjet Ink Advantage 2020hc. Please share link.,Neutral
12,deskjet,SunitaKatyal,Enjoy low cost and best printing with HP Deskjet Advantage 3777 get one today and #ReinventMemories @user,Positive
13,deskjet,kingg2698,Crystal clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
14,deskjet,kingg2698,Enjoy low cost and best printing with HP Deskjet Advantage 3777 get one today and #ReinventMemories @user,Positive
15,deskjet,SunitaKatyal,HP Deskjet Advantage 3700 Series takes care of all your printing.. #ReinventMemories @user,Positive
